"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 18 10:48:45 GMT 2023","Tue Jul 18 10:48:49 GMT 2023","3977","","hw11.lecture.StepsTest","","hw11.lecture.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Tue Jul 18 10:48:00 GMT 2023","Tue Jul 18 10:48:08 GMT 2023","8431","","hw10.SelenideFileTests","","hw10.SelenideFileTests","downloadXlsFileTest","downloadXlsFileTest()",""
"passed","Tue Jul 18 10:48:23 GMT 2023","Tue Jul 18 10:48:29 GMT 2023","6248","","hw11.LambdaTest","","hw11.LambdaTest","testLambdaStep","testLambdaStep()",""
"passed","Tue Jul 18 10:48:37 GMT 2023","Tue Jul 18 10:48:37 GMT 2023","773","","hw11.lecture.AttachmentsTest","","hw11.lecture.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
"skipped","Tue Jul 18 10:48:53 GMT 2023","Tue Jul 18 10:48:53 GMT 2023","0","","org.openstreetmap.OpenStreetMapTests","","org.openstreetmap.OpenStreetMapTests","pageHeaderValues","pageHeaderValues(String)",""
"passed","Tue Jul 18 10:48:49 GMT 2023","Tue Jul 18 10:48:53 GMT 2023","4262","","hw11.lecture.StepsTest","","hw11.lecture.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Tue Jul 18 10:47:50 GMT 2023","Tue Jul 18 10:47:57 GMT 2023","6813","","hw10.SelenideFileTests","","hw10.SelenideFileTests","downloadTxtFileTest","downloadTxtFileTest()",""
"passed","Tue Jul 18 10:48:37 GMT 2023","Tue Jul 18 10:48:39 GMT 2023","1810","","hw11.lecture.AttachmentsTest","","hw11.lecture.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"passed","Tue Jul 18 10:48:14 GMT 2023","Tue Jul 18 10:48:22 GMT 2023","7894","","hw10.ZipArchiveTests","","hw10.ZipArchiveTests","xlsxTest","xlsxTest()",""
"passed","Tue Jul 18 10:48:33 GMT 2023","Tue Jul 18 10:48:37 GMT 2023","3737","","hw11.StepsTest","","hw11.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Tue Jul 18 10:48:22 GMT 2023","Tue Jul 18 10:48:23 GMT 2023","705","","hw10.ZipArchiveTests","","hw10.ZipArchiveTests","pdfTest","pdfTest()",""
"skipped","Tue Jul 18 10:48:53 GMT 2023","Tue Jul 18 10:48:53 GMT 2023","0","","org.openstreetmap.OpenStreetMapTests","","org.openstreetmap.OpenStreetMapTests","addressValues","addressValues(String, List)",""
"skipped","Tue Jul 18 10:48:53 GMT 2023","Tue Jul 18 10:48:53 GMT 2023","0","","org.openstreetmap.OpenStreetMapTests","","org.openstreetmap.OpenStreetMapTests","pageSubHeaderValues","pageSubHeaderValues(String, String)",""
"passed","Tue Jul 18 10:48:23 GMT 2023","Tue Jul 18 10:48:23 GMT 2023","45","","hw10.ZipArchiveTests","","hw10.ZipArchiveTests","csvTest","csvTest()",""
"passed","Tue Jul 18 10:47:57 GMT 2023","Tue Jul 18 10:48:00 GMT 2023","2963","","hw10.SelenideFileTests","","hw10.SelenideFileTests","uploadFileTest","uploadFileTest()",""
"passed","Tue Jul 18 10:48:39 GMT 2023","Tue Jul 18 10:48:39 GMT 2023","1","","hw11.lecture.LabelsTest","","hw11.lecture.LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"passed","Tue Jul 18 10:48:29 GMT 2023","Tue Jul 18 10:48:33 GMT 2023","3723","","hw11.ListenerTest","","hw11.ListenerTest","testIssueSearch","testIssueSearch()",""
"passed","Tue Jul 18 10:48:39 GMT 2023","Tue Jul 18 10:48:39 GMT 2023","1","","hw11.lecture.LabelsTest","","hw11.lecture.LabelsTest","testStaticLabels","Создание Issue для авторизованного пользователя",""
"passed","Tue Jul 18 10:48:39 GMT 2023","Tue Jul 18 10:48:45 GMT 2023","5595","","hw11.lecture.SelenideTest","","hw11.lecture.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Tue Jul 18 10:48:08 GMT 2023","Tue Jul 18 10:48:14 GMT 2023","5849","","hw10.SelenideFileTests","","hw10.SelenideFileTests","downloadPdfFileTest","downloadPdfFileTest()",""
"passed","Tue Jul 18 10:47:49 GMT 2023","Tue Jul 18 10:47:50 GMT 2023","865","","hw10.JsonTests","","hw10.JsonTests","jsonTest","jsonTest()",""
