"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 16 13:41:29 GMT 2023","Sun Jul 16 13:41:30 GMT 2023","831","","hw11.lecture.AttachmentsTest","","hw11.lecture.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
"passed","Sun Jul 16 13:40:51 GMT 2023","Sun Jul 16 13:40:54 GMT 2023","2630","","hw10.SelenideFileTests","","hw10.SelenideFileTests","uploadFileTest","uploadFileTest()",""
"skipped","Sun Jul 16 13:41:46 GMT 2023","Sun Jul 16 13:41:46 GMT 2023","0","","org.openstreetmap.OpenStreetMapTests","","org.openstreetmap.OpenStreetMapTests","pageSubHeaderValues","pageSubHeaderValues(String, String)",""
"skipped","Sun Jul 16 13:41:46 GMT 2023","Sun Jul 16 13:41:46 GMT 2023","0","","org.openstreetmap.OpenStreetMapTests","","org.openstreetmap.OpenStreetMapTests","addressValues","addressValues(String, List)",""
"passed","Sun Jul 16 13:40:54 GMT 2023","Sun Jul 16 13:41:01 GMT 2023","7487","","hw10.SelenideFileTests","","hw10.SelenideFileTests","downloadXlsFileTest","downloadXlsFileTest()",""
"passed","Sun Jul 16 13:41:22 GMT 2023","Sun Jul 16 13:41:26 GMT 2023","3987","","hw11.ListenerTest","","hw11.ListenerTest","testIssueSearch","testIssueSearch()",""
"passed","Sun Jul 16 13:40:43 GMT 2023","Sun Jul 16 13:40:44 GMT 2023","898","","hw10.JsonTests","","hw10.JsonTests","jsonTest","jsonTest()",""
"passed","Sun Jul 16 13:41:08 GMT 2023","Sun Jul 16 13:41:14 GMT 2023","6250","","hw10.ZipArchiveTests","","hw10.ZipArchiveTests","xlsxTest","xlsxTest()",""
"passed","Sun Jul 16 13:41:16 GMT 2023","Sun Jul 16 13:41:16 GMT 2023","25","","hw10.ZipArchiveTests","","hw10.ZipArchiveTests","csvTest","csvTest()",""
"passed","Sun Jul 16 13:41:14 GMT 2023","Sun Jul 16 13:41:16 GMT 2023","1483","","hw10.ZipArchiveTests","","hw10.ZipArchiveTests","pdfTest","pdfTest()",""
"passed","Sun Jul 16 13:41:32 GMT 2023","Sun Jul 16 13:41:37 GMT 2023","5372","","hw11.lecture.SelenideTest","","hw11.lecture.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Sun Jul 16 13:41:16 GMT 2023","Sun Jul 16 13:41:22 GMT 2023","5883","","hw11.LambdaTest","","hw11.LambdaTest","testLambdaStep","testLambdaStep()",""
"passed","Sun Jul 16 13:41:37 GMT 2023","Sun Jul 16 13:41:42 GMT 2023","4829","","hw11.lecture.StepsTest","","hw11.lecture.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Sun Jul 16 13:41:32 GMT 2023","Sun Jul 16 13:41:32 GMT 2023","1","","hw11.lecture.LabelsTest","","hw11.lecture.LabelsTest","testStaticLabels","Создание Issue для авторизованного пользователя",""
"passed","Sun Jul 16 13:41:26 GMT 2023","Sun Jul 16 13:41:29 GMT 2023","3406","","hw11.StepsTest","","hw11.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Sun Jul 16 13:41:42 GMT 2023","Sun Jul 16 13:41:46 GMT 2023","4044","","hw11.lecture.StepsTest","","hw11.lecture.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Sun Jul 16 13:40:44 GMT 2023","Sun Jul 16 13:40:51 GMT 2023","6860","","hw10.SelenideFileTests","","hw10.SelenideFileTests","downloadTxtFileTest","downloadTxtFileTest()",""
"passed","Sun Jul 16 13:41:30 GMT 2023","Sun Jul 16 13:41:32 GMT 2023","1741","","hw11.lecture.AttachmentsTest","","hw11.lecture.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"passed","Sun Jul 16 13:41:01 GMT 2023","Sun Jul 16 13:41:08 GMT 2023","6662","","hw10.SelenideFileTests","","hw10.SelenideFileTests","downloadPdfFileTest","downloadPdfFileTest()",""
"skipped","Sun Jul 16 13:41:46 GMT 2023","Sun Jul 16 13:41:46 GMT 2023","0","","org.openstreetmap.OpenStreetMapTests","","org.openstreetmap.OpenStreetMapTests","pageHeaderValues","pageHeaderValues(String)",""
"passed","Sun Jul 16 13:41:32 GMT 2023","Sun Jul 16 13:41:32 GMT 2023","1","","hw11.lecture.LabelsTest","","hw11.lecture.LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
